asset_id,asset_name,asset_type,location_tag_name
DOCK-003,Dock Leveler Hydraulic,forklift,OUTBOUND-D01
LIFT-001,Scissor Lift 20ft,forklift,MEZZANINE-01
LIFT-002,Boom Lift 30ft,forklift,OUTDOOR-YARD-A
LIFT-003,Personnel Lift 15ft,forklift,INDOOR-A1
CONV-001,Conveyor Belt 50ft,pallet_jack,STAGE-LANE-01
CONV-002,Roller Conveyor 30ft,pallet_jack,STAGE-LANE-02
CONV-003,Belt Conveyor 40ft,pallet_jack,ASSEMBLY-01
SORT-001,Automated Sorter,scanner,STAGE-LANE-01
SORT-002,Manual Sort Station,scanner,INTAKE-BIN-01
PACK-001,Packing Table Workstation,pallet_jack,PACK-STATION-1
PACK-002,Packing Table Workstation,pallet_jack,PACK-STATION-2
SHIP-001,Shipping Computer Station,scanner,OUTBOUND-D01
SHIP-002,Shipping Computer Station,scanner,OUTBOUND-D02
RACK-001,Mobile Rack System,pallet_jack,RESERVE-R01
RACK-002,Mobile Rack System,pallet_jack,RESERVE-R02
BIN-001,Plastic Storage Bins 50pk,pallet_jack,BIN-AA-001
BIN-002,Metal Storage Bins 30pk,pallet_jack,BIN-AB-001
LADDER-001,Rolling Ladder 10ft,forklift,SHELF-01-A
LADDER-002,Step Ladder 8ft,forklift,SHELF-02-A
LADDER-003,Extension Ladder 16ft,forklift,OUTDOOR-YARD-A
TOOL-001,Cordless Tool Set,scanner,REFURB-AREA-01
TOOL-002,Hand Tool Cart,pallet_jack,REFURB-AREA-02
CLEAN-001,Floor Scrubber Machine,forklift,BULK-AREA-01
CLEAN-002,Sweeper Ride-On,forklift,OUTDOOR-YARD-A
CLEAN-003,Pressure Washer,forklift,OUTDOOR-YARD-B
SAFE-001,Fireproof Safe,scanner,RACK-D-001
SAFE-002,Security Cage 10x10,pallet_jack,HAZMAT-01
FAN-001,Industrial Fan 36inch,forklift,WIP-AREA-01
FAN-002,Ceiling Fan Industrial,forklift,ASSEMBLY-01
HEAT-001,Space Heater Industrial,forklift,OUTDOOR-YARD-A
COOL-001,Portable AC Unit,forklift,FREEZER-R01
LIGHT-001,LED High Bay Light,forklift,BULK-AREA-01
LIGHT-002,LED Shop Light,forklift,COMP-SHELF-01
RADIO-001,Two-Way Radio Set,scanner,RECV-STAGE-01
RADIO-002,Two-Way Radio Set,scanner,PACK-STATION-1
RADIO-003,Two-Way Radio Set,scanner,INBOUND-D01
COMP-001,Desktop Computer Workstation,scanner,RECV-STAGE-01
COMP-002,Desktop Computer Workstation,scanner,PACK-STATION-1
COMP-003,Laptop Mobile Workstation,scanner,REFURB-AREA-01
PRINT-001,Laser Printer Office,scanner,RECV-STAGE-01
PRINT-002,Inkjet Printer,scanner,PACK-STATION-1
DESK-001,Standing Desk Workstation,pallet_jack,RECV-STAGE-01
DESK-002,L-Shape Desk,pallet_jack,PACK-STATION-1
CHAIR-001,Ergonomic Office Chair,pallet_jack,RECV-STAGE-01
CHAIR-002,Task Chair,pallet_jack,PACK-STATION-1
FILE-001,Filing Cabinet 4-Drawer,pallet_jack,RECV-STAGE-01
BOARD-001,Whiteboard 6x4ft,pallet_jack,RECV-STAGE-01
CLOCK-001,Time Clock Biometric,scanner,RECV-STAGE-01
CLOCK-002,Time Clock Punch Card,scanner,ASSEMBLY-01
